,Code,Language,# docs,# words,Content Length :
0,af,Afrikaans,23994,6217024,37.2 MB
1,sq,Albanian,1342790,462694599,3.2 GB
2,am,Amharic,119434,40262809,512.9 MB
3,ar,Arabic,25012116,10081452882,110.7 GB
4,an,Aragonese,34,264,11.0 kB
5,hy,Armenian,1056974,336045041,4.9 GB
6,as,Assamese,89542,24395215,412.1 MB
7,ast,Asturian,440,10917,74.1 kB
8,av,Avaric,44,1073,18.6 kB
9,az,Azerbaijani,1159994,316850330,3.0 GB
10,bn,Bangla,3474086,1092983765,19.1 GB
11,ba,Bashkir,128248,26036637,363.7 MB
12,eu,Basque,678474,136672615,1.2 GB
13,be,Belarusian,445612,164729607,2.3 GB
14,bh,Bihari languages,48,507,6.8 kB
15,bpy,Bishnupriya,2346,346947,5.4 MB
16,bs,Bosnian,20,395,3.0 kB
17,br,Breton,36338,4759407,31.4 MB
18,bg,Bulgarian,8933998,3635273738,44.1 GB
19,my,Burmese,430276,82433836,3.0 GB
20,ca,Catalan,6953898,2240460836,15.3 GB
21,ceb,Cebuano,16174,6263404,41.1 MB
22,ckb,Central Kurdish,182508,61334746,772.9 MB
23,ce,Chechen,11686,1051752,13.9 MB
24,zh,Chinese,138478270,44378380161,1.4 TB
25,cv,Chuvash,16652,3039925,42.3 MB
26,kw,Cornish,8,80,432 Bytes
27,hr,Croatian,31808,3542961,26.5 MB
28,cs,Czech,34859632,9717378559,77.0 GB
29,da,Danish,7214338,2217634340,14.8 GB
30,dv,Divehi,77060,10655359,200.1 MB
31,nl,Dutch,72552688,19564553306,135.0 GB
32,mhr,Eastern Mari,9502,1615215,22.9 MB
33,arz,Egyptian Arabic,3958,385511,3.7 MB
34,en,English,1235510986,5.24E+11,3.4 TB
35,eo,Esperanto,226924,67774923,474.8 MB
36,et,Estonian,3601904,938296892,8.0 GB
37,tl,Filipino,250558,110560444,719.2 MB
38,fi,Finnish,14471710,4198143883,41.1 GB
39,fr,French,158334998,62127088294,430.5 GB
40,gl,Galician,248762,38345625,255.7 MB
41,ka,Georgian,1343036,373935158,8.4 GB
42,de,German,206598430,73848586648,594.7 GB
43,gom,Goan Konkani,398,121035,2.3 MB
44,el,Greek,20282864,7691622692,95.7 GB
45,gn,Guarani,14,260,2.2 kB
46,gu,Gujarati,425552,417001705,5.6 GB
47,ht,Haitian Creole,2,20671,93.1 kB
48,he,Hebrew,3997888,1697158891,18.0 GB
49,hi,Hindi,5514454,2475605444,32.6 GB
50,hu,Hungarian,21349372,16013364289,150.1 GB
51,is,Icelandic,1210232,294471539,2.2 GB
52,io,Ido,224,2598,16.1 kB
53,ilo,Iloko,144,4411,28.0 kB
54,id,Indonesian,7109778,3228020221,23.4 GB
55,ia,Interlingua,34,9384,33.5 kB
56,ie,Interlingue,2,0,881 Bytes
57,ga,Irish,29894,9054923,63.2 MB
58,it,Italian,89021606,36327274203,259.4 GB
59,ja,Japanese,94236404,4401059165,181.2 GB
60,jv,Javanese,172,3286,25.7 kB
61,xal,Kalmyk,2,27,315 Bytes
62,kn,Kannada,448500,124924350,2.6 GB
63,krc,Karachay-Balkar,496,8385,122.4 kB
64,kk,Kazakh,677622,214679857,3.3 GB
65,km,Khmer,450660,59880231,3.2 GB
66,kv,Komi,460,5909,70.3 kB
67,ko,Korean,15147698,3435866935,38.1 GB
68,ku,Kurdish,80338,25921607,174.1 MB
69,ky,Kyrgyz,144288,32062783,489.3 MB
70,lo,Lao,118374,10659203,472.1 MB
71,la,Latin,14384,307865,2.0 MB
72,lv,Latvian,2435882,845459899,7.4 GB
73,lez,Lezghian,676,60634,856.6 kB
74,li,Limburgish,6,169,1.4 kB
75,lt,Lithuanian,5182028,1674362574,14.5 GB
76,jbo,Lojban,572,312315,1.5 MB
77,lmo,Lombard,112,3269,21.0 kB
78,nds,Low German,5248,1612175,10.7 MB
79,dsb,Lower Sorbian,8,84,664 Bytes
80,lb,Luxembourgish,18090,2514838,18.4 MB
81,mk,Macedonian,1063298,389344425,4.7 GB
82,mai,Maithili,46,467,6.8 kB
83,mg,Malagasy,10830,1416430,11.2 MB
84,ms,Malay,11500,238477,2.6 MB
85,ml,Malayalam,800936,236597838,5.8 GB
86,mt,Maltese,5180,149886,1.3 MB
87,mr,Marathi,729578,252706331,4.5 GB
88,mzn,Mazanderani,384,16115,169.2 kB
89,min,Minangkabau,2436,305589,3.8 MB
90,xmf,Mingrelian,7318,283316,6.1 MB
91,mwl,Mirandese,4,54,423 Bytes
92,mn,Mongolian,1061710,454350415,5.8 GB
93,multi,Multilingual,2948202,1251676406,11.9 GB
94,nah,Nahuatl languages,38,279,2.4 kB
95,ne,Nepali,1152156,278901036,4.9 GB
96,new,Newari,1996,229703,4.0 MB
97,no,Norwegian,2797378,373160033,2.6 GB
98,nn,Norwegian Nynorsk,19470,575518,3.7 MB
99,oc,Occitan,920,34701,405.0 kB
100,or,Odia,158426,31963340,543.1 MB
101,os,Ossetic,8628,3935964,50.7 MB
102,ps,Pashto,87408,30196179,261.6 MB
103,fa,Persian,23813882,9609206698,93.2 GB
104,pms,Piedmontese,2524,510087,3.1 MB
105,pl,Polish,57184826,18073705588,147.1 GB
106,pt,Portuguese,36062800,15172557311,105.0 GB
107,pa,Punjabi,222058,104235418,1.4 GB
108,qu,Quechua,2,13,143 Bytes
109,ro,Romanian,11985668,6302600833,45.6 GB
110,bxr,Russia Buriat,72,698,8.2 kB
111,ru,Russian,194143422,78032029344,1.1 TB
112,sah,Sakha,17566,4288051,68.8 MB
113,sa,Sanskrit,16802,2479345,56.3 MB
114,gd,Scottish Gaelic,776,18458,146.1 kB
115,sr,Serbian,1677896,632781822,7.7 GB
116,sh,Serbian (Latin),3214,166517,816.4 kB
117,sd,Sindhi,48566,14667207,131.6 MB
118,si,Sinhala,301066,172755385,2.6 GB
119,sk,Slovak,8931784,2704716280,21.5 GB
120,sl,Slovenian,1112560,192816743,1.4 GB
121,so,Somali,6,51,503 Bytes
122,azb,South Azerbaijani,26364,2029729,28.4 MB
123,es,Spanish,153574556,63388237965,429.9 GB
124,su,Sundanese,18,258,2.0 kB
125,sw,Swahili,1664,164459,1.0 MB
126,sv,Swedish,21891348,6993719601,50.0 GB
127,gsw,Swiss German,342,34328,232.7 kB
128,tg,Tajik,144932,76987285,1.0 GB
129,ta,Tamil,1638238,738824392,15.8 GB
130,tt,Tatar,262654,59253765,833.8 MB
131,te,Telugu,644712,201575815,3.9 GB
132,th,Thai,14845900,2224483018,92.0 GB
133,bo,Tibetan,62352,6062558,531.6 MB
134,tr,Turkish,26654330,8290890087,73.7 GB
135,tk,Turkmen,4576,325786,3.3 MB
136,uk,Ukrainian,10059992,3183842018,44.7 GB
137,x-eml,Emiliano-Romagnol,4,329,1.8 kB
138,hsb,Upper Sorbian,402,15827,123.2 kB
139,ur,Urdu,887004,434023273,3.8 GB
140,ug,Uyghur,51304,14659554,219.8 MB
141,uz,Uzbek,15806,1665960,15.3 MB
142,vi,Vietnamese,33933994,22424984210,140.8 GB
143,vo,Volapük,896,49968,371.9 kB
144,wa,Walloon,390,6347,34.3 kB
145,war,Waray,1494,19665,126.8 kB
146,cy,Welsh,151512,52250043,333.0 MB
147,fy,Western Frisian,45458,9885788,70.4 MB
148,mrj,Western Mari,496,60180,765.8 kB
149,pnb,Western Panjabi,12904,11844695,105.8 MB
150,wuu,Wu Chinese,136,1199,26.8 kB
151,yi,Yiddish,47438,14287370,171.7 MB
152,yo,Yoruba,128,2396,16.6 kB
